Designator,Footprint,Quantity,Value,LCSC Part #
"BT1_12, BT1_11, BT1_10, BT1_9, BT1_8, BT1_7, BT1_6, BT1_5, BT1_4, BT1_3, BT1_2, BT1",BatteryHolder_Keystone_1060_1x2032,12,CR2032,C964760
"C1_12, C1_11, C1_10, C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1, C2_12, C2_11, C2_10, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C3_12, C3_11, C3_10, C3_9, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3",0603,36,10u,C19702
"D1_12, D1_11, D1_10, D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1, D4_12, D4_11, D4_10, D4_9, D4_8, D4_7, D4_6, D4_5, D4_4, D4_3, D4_2, D4, D7_12, D7_11, D7_10, D7_9, D7_8, D7_7, D7_6, D7_5, D7_4, D7_3, D7_2, D7",0805,36,GREEN,C2297
"D2_12, D2_11, D2_10, D2_9, D2_8, D2_7, D2_6, D2_5, D2_4, D2_3, D2_2, D2, D5_12, D5_11, D5_10, D5_9, D5_8, D5_7, D5_6, D5_5, D5_4, D5_3, D5_2, D5, D8_12, D8_11, D8_10, D8_9, D8_8, D8_7, D8_6, D8_5, D8_4, D8_3, D8_2, D8",0805,36,YELLOW,C2296
"D3_12, D3_11, D3_10, D3_9, D3_8, D3_7, D3_6, D3_5, D3_4, D3_3, D3_2, D3, D6_12, D6_11, D6_10, D6_9, D6_8, D6_7, D6_6, D6_5, D6_4, D6_3, D6_2, D6, D9_12, D9_11, D9_10, D9_9, D9_8, D9_7, D9_6, D9_5, D9_4, D9_3, D9_2, D9",0805,36,RED,C84256
"Q1_12, Q1_11, Q1_10, Q1_9, Q1_8, Q1_7, Q1_6, Q1_5, Q1_4, Q1_3, Q1_2, Q1, Q2_12, Q2_11, Q2_10, Q2_9, Q2_8, Q2_7, Q2_6, Q2_5, Q2_4, Q2_3, Q2_2, Q2, Q3_12, Q3_11, Q3_10, Q3_9, Q3_8, Q3_7, Q3_6, Q3_5, Q3_4, Q3_3, Q3_2, Q3",SOT-23,36,SS8050,C2146
"Q4_12, Q4_11, Q4_10, Q4_9, Q4_8, Q4_7, Q4_6, Q4_5, Q4_4, Q4_3, Q4_2, Q4, Q5_12, Q5_11, Q5_10, Q5_9, Q5_8, Q5_7, Q5_6, Q5_5, Q5_4, Q5_3, Q5_2, Q5, Q6_12, Q6_11, Q6_10, Q6_9, Q6_8, Q6_7, Q6_6, Q6_5, Q6_4, Q6_3, Q6_2, Q6",SOT-23,36,SS8550,C8542
"R1_12, R1_11, R1_10, R1_9, R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,12,22k,
"R10_12, R10_11, R10_10, R10_9, R10_8, R10_7, R10_6, R10_5, R10_4, R10_3, R10_2, R10, R13_12, R13_11, R13_10, R13_9, R13_8, R13_7, R13_6, R13_5, R13_4, R13_3, R13_2, R13, R16_12, R16_11, R16_10, R16_9, R16_8, R16_7, R16_6, R16_5, R16_4, R16_3, R16_2, R16",0603,36,5.1k,C23186
"R11_12, R11_11, R11_10, R11_9, R11_8, R11_7, R11_6, R11_5, R11_4, R11_3, R11_2, R11, R14_12, R14_11, R14_10, R14_9, R14_8, R14_7, R14_6, R14_5, R14_4, R14_3, R14_2, R14, R17_12, R17_11, R17_10, R17_9, R17_8, R17_7, R17_6, R17_5, R17_4, R17_3, R17_2, R17",0603,36,330,C23138
"R12_12, R12_11, R12_10, R12_9, R12_8, R12_7, R12_6, R12_5, R12_4, R12_3, R12_2, R12, R15_12, R15_11, R15_10, R15_9, R15_8, R15_7, R15_6, R15_5, R15_4, R15_3, R15_2, R15, R18_12, R18_11, R18_10, R18_9, R18_8, R18_7, R18_6, R18_5, R18_4, R18_3, R18_2, R18",0603,36,1k,C21190
"R2_12, R2_11, R2_10, R2_9, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2, R4_12, R4_11, R4_10, R4_9, R4_8, R4_7, R4_6, R4_5, R4_4, R4_3, R4_2, R4, R6_12, R6_11, R6_10, R6_9, R6_8, R6_7, R6_6, R6_5, R6_4, R6_3, R6_2, R6",0603,36,2.2k,C4190
"R3_12, R3_11, R3_10, R3_9, R3_8, R3_7, R3_6, R3_5, R3_4, R3_3, R3_2, R3, R5_12, R5_11, R5_10, R5_9, R5_8, R5_7, R5_6, R5_5, R5_4, R5_3, R5_2, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,24,24k,
"R7_12, R7_11, R7_10, R7_9, R7_8, R7_7, R7_6, R7_5, R7_4, R7_3, R7_2, R7, R8_12, R8_11, R8_10, R8_9, R8_8, R8_7, R8_6, R8_5, R8_4, R8_3, R8_2, R8, R9_12, R9_11, R9_10, R9_9, R9_8, R9_7, R9_6, R9_5, R9_4, R9_3, R9_2, R9",0603,36,22k,C31850
"SW1_12, SW1_11, SW1_10, SW1_9, SW1_8, SW1_7, SW1_6, SW1_5, SW1_4, SW1_3, SW1_2, SW1",SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,12,POWER,C2837530
